HR,start_time_unix,sampling_rate
80.62,1623777532.0,1.0
80.37,1623777532.0,1.0
80.15,1623777532.0,1.0
79.92,1623777532.0,1.0
79.68,1623777532.0,1.0
79.6,1623777532.0,1.0
79.52,1623777532.0,1.0
79.43,1623777532.0,1.0
79.33,1623777532.0,1.0
79.22,1623777532.0,1.0
79.1,1623777532.0,1.0
78.97,1623777532.0,1.0
78.82,1623777532.0,1.0
78.67,1623777532.0,1.0
78.5,1623777532.0,1.0
78.32,1623777532.0,1.0
78.15,1623777532.0,1.0
78.0,1623777532.0,1.0
77.87,1623777532.0,1.0
77.68,1623777532.0,1.0
77.5,1623777532.0,1.0
77.33,1623777532.0,1.0
77.03,1623777532.0,1.0
76.65,1623777532.0,1.0
76.27,1623777532.0,1.0
75.95,1623777532.0,1.0
75.65,1623777532.0,1.0
75.45,1623777532.0,1.0
75.18,1623777532.0,1.0
75.05,1623777532.0,1.0
74.9,1623777532.0,1.0
74.75,1623777532.0,1.0
74.63,1623777532.0,1.0
74.53,1623777532.0,1.0
74.47,1623777532.0,1.0
74.37,1623777532.0,1.0
74.18,1623777532.0,1.0
74.18,1623777532.0,1.0
74.2,1623777532.0,1.0
74.23,1623777532.0,1.0
74.28,1623777532.0,1.0
74.37,1623777532.0,1.0
74.43,1623777532.0,1.0
74.5,1623777532.0,1.0
74.53,1623777532.0,1.0
74.53,1623777532.0,1.0
74.53,1623777532.0,1.0
74.55,1623777532.0,1.0
74.57,1623777532.0,1.0
74.58,1623777532.0,1.0
74.6,1623777532.0,1.0
74.62,1623777532.0,1.0
74.53,1623777532.0,1.0
74.43,1623777532.0,1.0
74.3,1623777532.0,1.0
74.18,1623777532.0,1.0
74.02,1623777532.0,1.0
74.0,1623777532.0,1.0
74.03,1623777532.0,1.0
74.12,1623777532.0,1.0
74.22,1623777532.0,1.0
74.35,1623777532.0,1.0
74.55,1623777532.0,1.0
74.7,1623777532.0,1.0
74.9,1623777532.0,1.0
75.32,1623777532.0,1.0
75.75,1623777532.0,1.0
76.17,1623777532.0,1.0
76.58,1623777532.0,1.0
76.97,1623777532.0,1.0
77.33,1623777532.0,1.0
77.68,1623777532.0,1.0
77.95,1623777532.0,1.0
78.2,1623777532.0,1.0
78.38,1623777532.0,1.0
78.55,1623777532.0,1.0
78.68,1623777532.0,1.0
78.8,1623777532.0,1.0
78.93,1623777532.0,1.0
79.13,1623777532.0,1.0
