BVP,start_time_unix,sampling_rate
70.1,1629130737.0,64.0
63.96,1629130737.0,64.0
55.35,1629130737.0,64.0
44.06,1629130737.0,64.0
28.89,1629130737.0,64.0
12.61,1629130737.0,64.0
-4.56,1629130737.0,64.0
-22.92,1629130737.0,64.0
-43.04,1629130737.0,64.0
-65.57,1629130737.0,64.0
-90.98,1629130737.0,64.0
-119.2,1629130737.0,64.0
-148.91,1629130737.0,64.0
-177.31,1629130737.0,64.0
-200.27,1629130737.0,64.0
-214.22,1629130737.0,64.0
-216.61,1629130737.0,64.0
-207.21,1629130737.0,64.0
-188.39,1629130737.0,64.0
-164.25,1629130737.0,64.0
-139.2,1629130737.0,64.0
-116.55,1629130737.0,64.0
-97.88,1629130737.0,64.0
-83.16,1629130737.0,64.0
-72.14,1629130737.0,64.0
-64.26,1629130737.0,64.0
-59.02,1629130737.0,64.0
-55.91,1629130737.0,64.0
-54.15,1629130737.0,64.0
-52.82,1629130737.0,64.0
-51.12,1629130737.0,64.0
-48.75,1629130737.0,64.0
-46.06,1629130737.0,64.0
-44.29,1629130737.0,64.0
-44.7,1629130737.0,64.0
-47.85,1629130737.0,64.0
-53.2,1629130737.0,64.0
-58.9,1629130737.0,64.0
-62.19,1629130737.0,64.0
-60.19,1629130737.0,64.0
-51.01,1629130737.0,64.0
-34.36,1629130737.0,64.0
-12.03,1629130737.0,64.0
12.91,1629130737.0,64.0
36.98,1629130737.0,64.0
57.36,1629130737.0,64.0
72.47,1629130737.0,64.0
82.04,1629130737.0,64.0
86.75,1629130737.0,64.0
87.6,1629130737.0,64.0
85.57,1629130737.0,64.0
81.29,1629130737.0,64.0
75.26,1629130737.0,64.0
68.01,1629130737.0,64.0
60.11,1629130737.0,64.0
52.22,1629130737.0,64.0
44.94,1629130737.0,64.0
38.74,1629130737.0,64.0
33.89,1629130737.0,64.0
30.48,1629130737.0,64.0
28.42,1629130737.0,64.0
27.48,1629130737.0,64.0
27.25,1629130737.0,64.0
27.17,1629130737.0,64.0
26.68,1629130737.0,64.0
25.28,1629130737.0,64.0
22.72,1629130737.0,64.0
18.99,1629130737.0,64.0
14.23,1629130737.0,64.0
8.71,1629130737.0,64.0
2.62,1629130737.0,64.0
-3.83,1629130737.0,64.0
-10.52,1629130737.0,64.0
-17.38,1629130737.0,64.0
-24.57,1629130737.0,64.0
-32.4,1629130737.0,64.0
-41.28,1629130737.0,64.0
-51.29,1629130737.0,64.0
-61.81,1629130737.0,64.0
-71.24,1629130737.0,64.0
-77.24,1629130737.0,64.0
-77.37,1629130737.0,64.0
-70.06,1629130737.0,64.0
-55.28,1629130737.0,64.0
-34.73,1629130737.0,64.0
-11.3,1629130737.0,64.0
11.84,1629130737.0,64.0
32.11,1629130737.0,64.0
48.05,1629130737.0,64.0
59.3,1629130737.0,64.0
66.2,1629130737.0,64.0
69.34,1629130737.0,64.0
69.3,1629130737.0,64.0
66.57,1629130737.0,64.0
61.76,1629130737.0,64.0
55.62,1629130737.0,64.0
49.08,1629130737.0,64.0
43.02,1629130737.0,64.0
38.13,1629130737.0,64.0
34.68,1629130737.0,64.0
32.5,1629130737.0,64.0
31.11,1629130737.0,64.0
29.87,1629130737.0,64.0
28.2,1629130737.0,64.0
25.74,1629130737.0,64.0
22.35,1629130737.0,64.0
18.13,1629130737.0,64.0
13.29,1629130737.0,64.0
8.05,1629130737.0,64.0
2.55,1629130737.0,64.0
-3.09,1629130737.0,64.0
-8.86,1629130737.0,64.0
-14.79,1629130737.0,64.0
-20.96,1629130737.0,64.0
-27.55,1629130737.0,64.0
-34.84,1629130737.0,64.0
-43.24,1629130737.0,64.0
-52.98,1629130737.0,64.0
-63.87,1629130737.0,64.0
-74.98,1629130737.0,64.0
-84.52,1629130737.0,64.0
-90.11,1629130737.0,64.0
-89.53,1629130737.0,64.0
-81.44,1629130737.0,64.0
-66.09,1629130737.0,64.0
-45.35,1629130737.0,64.0
-22.28,1629130737.0,64.0
-0.15,1629130737.0,64.0
18.46,1629130737.0,64.0
32.19,1629130737.0,64.0
40.94,1629130737.0,64.0
45.4,1629130737.0,64.0
46.51,1629130737.0,64.0
44.97,1629130737.0,64.0
41.2,1629130737.0,64.0
35.53,1629130737.0,64.0
28.43,1629130737.0,64.0
20.61,1629130737.0,64.0
13.04,1629130737.0,64.0
6.62,1629130737.0,64.0
1.96,1629130737.0,64.0
-0.73,1629130737.0,64.0
-1.7,1629130737.0,64.0
-1.53,1629130737.0,64.0
-0.9,1629130737.0,64.0
-0.5,1629130737.0,64.0
-0.81,1629130737.0,64.0
-2.05,1629130737.0,64.0
-4.17,1629130737.0,64.0
-6.9,1629130737.0,64.0
-9.97,1629130737.0,64.0
-13.22,1629130737.0,64.0
-16.8,1629130737.0,64.0
-21.05,1629130737.0,64.0
-26.42,1629130737.0,64.0
-33.27,1629130737.0,64.0
-41.8,1629130737.0,64.0
-51.85,1629130737.0,64.0
-62.81,1629130737.0,64.0
-73.41,1629130737.0,64.0
-81.73,1629130737.0,64.0
-85.5,1629130737.0,64.0
-82.68,1629130737.0,64.0
-72.24,1629130737.0,64.0
-54.71,1629130737.0,64.0
-32.18,1629130737.0,64.0
-7.73,1629130737.0,64.0
15.52,1629130737.0,64.0
35.2,1629130737.0,64.0
50.22,1629130737.0,64.0
60.57,1629130737.0,64.0
66.82,1629130737.0,64.0
69.64,1629130737.0,64.0
69.48,1629130737.0,64.0
66.61,1629130737.0,64.0
61.38,1629130737.0,64.0
54.46,1629130737.0,64.0
46.82,1629130737.0,64.0
39.63,1629130737.0,64.0
33.88,1629130737.0,64.0
30.06,1629130737.0,64.0
27.99,1629130737.0,64.0
26.93,1629130737.0,64.0
25.9,1629130737.0,64.0
24.06,1629130737.0,64.0
21.06,1629130737.0,64.0
17.1,1629130737.0,64.0
12.72,1629130737.0,64.0
8.48,1629130737.0,64.0
4.64,1629130737.0,64.0
1.03,1629130737.0,64.0
