BVP,start_time_unix,sampling_rate
28.99,1624876821.0,64.0
26.95,1624876821.0,64.0
23.53,1624876821.0,64.0
19.36,1624876821.0,64.0
15.27,1624876821.0,64.0
12.1,1624876821.0,64.0
10.5,1624876821.0,64.0
10.53,1624876821.0,64.0
11.75,1624876821.0,64.0
13.27,1624876821.0,64.0
14.22,1624876821.0,64.0
14.04,1624876821.0,64.0
12.73,1624876821.0,64.0
10.68,1624876821.0,64.0
8.49,1624876821.0,64.0
6.5,1624876821.0,64.0
4.7,1624876821.0,64.0
2.73,1624876821.0,64.0
0.09,1624876821.0,64.0
-3.61,1624876821.0,64.0
-8.44,1624876821.0,64.0
-14.14,1624876821.0,64.0
-20.19,1624876821.0,64.0
-25.82,1624876821.0,64.0
-30.13,1624876821.0,64.0
-32.17,1624876821.0,64.0
-31.14,1624876821.0,64.0
-26.65,1624876821.0,64.0
-18.92,1624876821.0,64.0
-8.82,1624876821.0,64.0
2.27,1624876821.0,64.0
12.9,1624876821.0,64.0
21.88,1624876821.0,64.0
28.5,1624876821.0,64.0
32.56,1624876821.0,64.0
34.22,1624876821.0,64.0
33.75,1624876821.0,64.0
31.51,1624876821.0,64.0
27.9,1624876821.0,64.0
23.49,1624876821.0,64.0
18.95,1624876821.0,64.0
14.96,1624876821.0,64.0
12.0,1624876821.0,64.0
10.15,1624876821.0,64.0
9.04,1624876821.0,64.0
8.09,1624876821.0,64.0
6.7,1624876821.0,64.0
4.54,1624876821.0,64.0
1.69,1624876821.0,64.0
-1.48,1624876821.0,64.0
-4.57,1624876821.0,64.0
-7.31,1624876821.0,64.0
-9.76,1624876821.0,64.0
-12.2,1624876821.0,64.0
-15.07,1624876821.0,64.0
-18.69,1624876821.0,64.0
-23.1,1624876821.0,64.0
-27.98,1624876821.0,64.0
-32.67,1624876821.0,64.0
-36.28,1624876821.0,64.0
-37.81,1624876821.0,64.0
-36.51,1624876821.0,64.0
-31.98,1624876821.0,64.0
-24.46,1624876821.0,64.0
-14.72,1624876821.0,64.0
-3.97,1624876821.0,64.0
6.52,1624876821.0,64.0
15.63,1624876821.0,64.0
22.61,1624876821.0,64.0
27.13,1624876821.0,64.0
29.15,1624876821.0,64.0
28.86,1624876821.0,64.0
26.61,1624876821.0,64.0
22.91,1624876821.0,64.0
18.48,1624876821.0,64.0
14.14,1624876821.0,64.0
10.59,1624876821.0,64.0
8.25,1624876821.0,64.0
7.13,1624876821.0,64.0
6.78,1624876821.0,64.0
6.61,1624876821.0,64.0
6.12,1624876821.0,64.0
5.1,1624876821.0,64.0
3.68,1624876821.0,64.0
2.19,1624876821.0,64.0
0.9,1624876821.0,64.0
-0.21,1624876821.0,64.0
-1.39,1624876821.0,64.0
-3.05,1624876821.0,64.0
-5.6,1624876821.0,64.0
-9.24,1624876821.0,64.0
-13.92,1624876821.0,64.0
-19.32,1624876821.0,64.0
-24.84,1624876821.0,64.0
-29.65,1624876821.0,64.0
