HR,start_time_unix,sampling_rate
89.83,1625853048.0,1.0
89.82,1625853048.0,1.0
89.8,1625853048.0,1.0
89.78,1625853048.0,1.0
89.78,1625853048.0,1.0
89.78,1625853048.0,1.0
89.82,1625853048.0,1.0
89.88,1625853048.0,1.0
89.97,1625853048.0,1.0
90.03,1625853048.0,1.0
90.1,1625853048.0,1.0
90.18,1625853048.0,1.0
90.25,1625853048.0,1.0
90.3,1625853048.0,1.0
90.33,1625853048.0,1.0
90.37,1625853048.0,1.0
90.4,1625853048.0,1.0
90.43,1625853048.0,1.0
90.47,1625853048.0,1.0
90.48,1625853048.0,1.0
90.5,1625853048.0,1.0
90.53,1625853048.0,1.0
