HR,start_time_unix,sampling_rate
75.42,1625193219.0,1.0
75.45,1625193219.0,1.0
75.5,1625193219.0,1.0
75.55,1625193219.0,1.0
75.67,1625193219.0,1.0
75.75,1625193219.0,1.0
75.92,1625193219.0,1.0
76.0,1625193219.0,1.0
76.05,1625193219.0,1.0
76.1,1625193219.0,1.0
76.22,1625193219.0,1.0
76.32,1625193219.0,1.0
76.45,1625193219.0,1.0
76.38,1625193219.0,1.0
76.32,1625193219.0,1.0
76.23,1625193219.0,1.0
76.18,1625193219.0,1.0
76.13,1625193219.0,1.0
76.08,1625193219.0,1.0
76.03,1625193219.0,1.0
75.95,1625193219.0,1.0
75.88,1625193219.0,1.0
75.83,1625193219.0,1.0
75.8,1625193219.0,1.0
75.72,1625193219.0,1.0
75.63,1625193219.0,1.0
75.57,1625193219.0,1.0
75.5,1625193219.0,1.0
75.42,1625193219.0,1.0
75.28,1625193219.0,1.0
75.13,1625193219.0,1.0
75.03,1625193219.0,1.0
74.97,1625193219.0,1.0
74.93,1625193219.0,1.0
75.05,1625193219.0,1.0
75.17,1625193219.0,1.0
75.28,1625193219.0,1.0
75.35,1625193219.0,1.0
75.43,1625193219.0,1.0
75.5,1625193219.0,1.0
75.62,1625193219.0,1.0
75.73,1625193219.0,1.0
75.83,1625193219.0,1.0
76.05,1625193219.0,1.0
76.28,1625193219.0,1.0
76.53,1625193219.0,1.0
76.52,1625193219.0,1.0
76.48,1625193219.0,1.0
76.47,1625193219.0,1.0
76.47,1625193219.0,1.0
76.52,1625193219.0,1.0
76.52,1625193219.0,1.0
76.58,1625193219.0,1.0
76.63,1625193219.0,1.0
76.7,1625193219.0,1.0
76.8,1625193219.0,1.0
76.92,1625193219.0,1.0
77.02,1625193219.0,1.0
77.1,1625193219.0,1.0
77.17,1625193219.0,1.0
77.27,1625193219.0,1.0
77.32,1625193219.0,1.0
77.35,1625193219.0,1.0
77.35,1625193219.0,1.0
77.32,1625193219.0,1.0
77.32,1625193219.0,1.0
77.35,1625193219.0,1.0
77.38,1625193219.0,1.0
77.4,1625193219.0,1.0
77.45,1625193219.0,1.0
77.52,1625193219.0,1.0
77.6,1625193219.0,1.0
77.73,1625193219.0,1.0
77.85,1625193219.0,1.0
78.07,1625193219.0,1.0
78.27,1625193219.0,1.0
78.47,1625193219.0,1.0
78.67,1625193219.0,1.0
78.92,1625193219.0,1.0
79.18,1625193219.0,1.0
79.47,1625193219.0,1.0
79.77,1625193219.0,1.0
80.07,1625193219.0,1.0
80.37,1625193219.0,1.0
80.65,1625193219.0,1.0
80.97,1625193219.0,1.0
81.3,1625193219.0,1.0
81.63,1625193219.0,1.0
81.98,1625193219.0,1.0
82.35,1625193219.0,1.0
82.73,1625193219.0,1.0
83.12,1625193219.0,1.0
83.48,1625193219.0,1.0
83.83,1625193219.0,1.0
84.18,1625193219.0,1.0
84.57,1625193219.0,1.0
84.95,1625193219.0,1.0
85.32,1625193219.0,1.0
85.73,1625193219.0,1.0
86.13,1625193219.0,1.0
86.5,1625193219.0,1.0
86.83,1625193219.0,1.0
87.17,1625193219.0,1.0
87.37,1625193219.0,1.0
87.57,1625193219.0,1.0
87.75,1625193219.0,1.0
87.85,1625193219.0,1.0
87.9,1625193219.0,1.0
87.95,1625193219.0,1.0
87.98,1625193219.0,1.0
87.98,1625193219.0,1.0
87.97,1625193219.0,1.0
87.92,1625193219.0,1.0
87.82,1625193219.0,1.0
87.72,1625193219.0,1.0
87.62,1625193219.0,1.0
87.52,1625193219.0,1.0
87.45,1625193219.0,1.0
87.42,1625193219.0,1.0
87.4,1625193219.0,1.0
87.38,1625193219.0,1.0
87.42,1625193219.0,1.0
87.42,1625193219.0,1.0
87.4,1625193219.0,1.0
87.42,1625193219.0,1.0
87.4,1625193219.0,1.0
87.37,1625193219.0,1.0
87.38,1625193219.0,1.0
87.43,1625193219.0,1.0
87.47,1625193219.0,1.0
87.5,1625193219.0,1.0
87.53,1625193219.0,1.0
87.5,1625193219.0,1.0
87.47,1625193219.0,1.0
87.37,1625193219.0,1.0
87.27,1625193219.0,1.0
87.15,1625193219.0,1.0
87.03,1625193219.0,1.0
86.92,1625193219.0,1.0
86.8,1625193219.0,1.0
86.67,1625193219.0,1.0
86.52,1625193219.0,1.0
86.37,1625193219.0,1.0
86.18,1625193219.0,1.0
86.02,1625193219.0,1.0
85.8,1625193219.0,1.0
