HR,start_time_unix,sampling_rate
71.07,1624321628.0,1.0
70.87,1624321628.0,1.0
70.67,1624321628.0,1.0
70.48,1624321628.0,1.0
70.3,1624321628.0,1.0
70.12,1624321628.0,1.0
69.92,1624321628.0,1.0
69.73,1624321628.0,1.0
69.55,1624321628.0,1.0
69.33,1624321628.0,1.0
69.12,1624321628.0,1.0
68.88,1624321628.0,1.0
68.68,1624321628.0,1.0
68.48,1624321628.0,1.0
68.27,1624321628.0,1.0
68.07,1624321628.0,1.0
67.85,1624321628.0,1.0
67.65,1624321628.0,1.0
67.47,1624321628.0,1.0
67.33,1624321628.0,1.0
67.13,1624321628.0,1.0
66.92,1624321628.0,1.0
66.77,1624321628.0,1.0
66.6,1624321628.0,1.0
66.4,1624321628.0,1.0
66.2,1624321628.0,1.0
66.0,1624321628.0,1.0
65.8,1624321628.0,1.0
65.62,1624321628.0,1.0
65.38,1624321628.0,1.0
65.18,1624321628.0,1.0
64.98,1624321628.0,1.0
64.73,1624321628.0,1.0
64.52,1624321628.0,1.0
64.32,1624321628.0,1.0
64.1,1624321628.0,1.0
63.87,1624321628.0,1.0
63.65,1624321628.0,1.0
63.4,1624321628.0,1.0
63.27,1624321628.0,1.0
63.13,1624321628.0,1.0
63.08,1624321628.0,1.0
63.07,1624321628.0,1.0
63.03,1624321628.0,1.0
63.02,1624321628.0,1.0
62.98,1624321628.0,1.0
62.98,1624321628.0,1.0
62.97,1624321628.0,1.0
62.98,1624321628.0,1.0
63.02,1624321628.0,1.0
63.03,1624321628.0,1.0
63.03,1624321628.0,1.0
63.03,1624321628.0,1.0
63.05,1624321628.0,1.0
63.07,1624321628.0,1.0
63.08,1624321628.0,1.0
63.08,1624321628.0,1.0
63.08,1624321628.0,1.0
63.08,1624321628.0,1.0
63.08,1624321628.0,1.0
63.08,1624321628.0,1.0
63.08,1624321628.0,1.0
63.08,1624321628.0,1.0
63.08,1624321628.0,1.0
63.1,1624321628.0,1.0
63.13,1624321628.0,1.0
63.17,1624321628.0,1.0
63.22,1624321628.0,1.0
63.27,1624321628.0,1.0
63.32,1624321628.0,1.0
63.37,1624321628.0,1.0
63.4,1624321628.0,1.0
63.43,1624321628.0,1.0
63.45,1624321628.0,1.0
63.45,1624321628.0,1.0
63.47,1624321628.0,1.0
63.5,1624321628.0,1.0
63.52,1624321628.0,1.0
63.53,1624321628.0,1.0
63.55,1624321628.0,1.0
63.57,1624321628.0,1.0
63.57,1624321628.0,1.0
63.57,1624321628.0,1.0
63.57,1624321628.0,1.0
63.58,1624321628.0,1.0
63.57,1624321628.0,1.0
63.52,1624321628.0,1.0
63.45,1624321628.0,1.0
63.38,1624321628.0,1.0
63.33,1624321628.0,1.0
63.27,1624321628.0,1.0
63.17,1624321628.0,1.0
63.05,1624321628.0,1.0
62.93,1624321628.0,1.0
62.83,1624321628.0,1.0
62.88,1624321628.0,1.0
62.92,1624321628.0,1.0
62.9,1624321628.0,1.0
62.87,1624321628.0,1.0
62.83,1624321628.0,1.0
62.85,1624321628.0,1.0
62.88,1624321628.0,1.0
62.93,1624321628.0,1.0
63.0,1624321628.0,1.0
63.12,1624321628.0,1.0
63.27,1624321628.0,1.0
63.43,1624321628.0,1.0
63.62,1624321628.0,1.0
63.85,1624321628.0,1.0
64.07,1624321628.0,1.0
64.23,1624321628.0,1.0
64.38,1624321628.0,1.0
64.55,1624321628.0,1.0
64.68,1624321628.0,1.0
64.82,1624321628.0,1.0
64.95,1624321628.0,1.0
65.12,1624321628.0,1.0
65.08,1624321628.0,1.0
65.08,1624321628.0,1.0
65.13,1624321628.0,1.0
65.2,1624321628.0,1.0
65.3,1624321628.0,1.0
65.42,1624321628.0,1.0
65.55,1624321628.0,1.0
65.7,1624321628.0,1.0
65.87,1624321628.0,1.0
66.07,1624321628.0,1.0
66.17,1624321628.0,1.0
66.23,1624321628.0,1.0
66.32,1624321628.0,1.0
66.35,1624321628.0,1.0
66.4,1624321628.0,1.0
66.4,1624321628.0,1.0
66.38,1624321628.0,1.0
66.35,1624321628.0,1.0
66.3,1624321628.0,1.0
66.23,1624321628.0,1.0
66.17,1624321628.0,1.0
66.1,1624321628.0,1.0
66.03,1624321628.0,1.0
65.95,1624321628.0,1.0
65.9,1624321628.0,1.0
65.87,1624321628.0,1.0
65.9,1624321628.0,1.0
65.97,1624321628.0,1.0
66.07,1624321628.0,1.0
66.18,1624321628.0,1.0
66.33,1624321628.0,1.0
66.48,1624321628.0,1.0
66.65,1624321628.0,1.0
66.85,1624321628.0,1.0
67.08,1624321628.0,1.0
67.32,1624321628.0,1.0
67.52,1624321628.0,1.0
67.7,1624321628.0,1.0
67.75,1624321628.0,1.0
67.85,1624321628.0,1.0
68.0,1624321628.0,1.0
68.17,1624321628.0,1.0
68.32,1624321628.0,1.0
68.45,1624321628.0,1.0
68.52,1624321628.0,1.0
68.58,1624321628.0,1.0
68.63,1624321628.0,1.0
68.65,1624321628.0,1.0
68.65,1624321628.0,1.0
68.63,1624321628.0,1.0
68.6,1624321628.0,1.0
68.52,1624321628.0,1.0
68.43,1624321628.0,1.0
68.4,1624321628.0,1.0
68.38,1624321628.0,1.0
68.33,1624321628.0,1.0
68.32,1624321628.0,1.0
68.28,1624321628.0,1.0
68.27,1624321628.0,1.0
68.23,1624321628.0,1.0
68.4,1624321628.0,1.0
68.57,1624321628.0,1.0
68.7,1624321628.0,1.0
68.85,1624321628.0,1.0
68.95,1624321628.0,1.0
69.03,1624321628.0,1.0
69.07,1624321628.0,1.0
69.08,1624321628.0,1.0
69.05,1624321628.0,1.0
68.98,1624321628.0,1.0
68.98,1624321628.0,1.0
69.0,1624321628.0,1.0
68.98,1624321628.0,1.0
69.0,1624321628.0,1.0
68.98,1624321628.0,1.0
69.0,1624321628.0,1.0
69.03,1624321628.0,1.0
69.08,1624321628.0,1.0
69.13,1624321628.0,1.0
69.18,1624321628.0,1.0
69.23,1624321628.0,1.0
69.28,1624321628.0,1.0
69.32,1624321628.0,1.0
69.37,1624321628.0,1.0
69.42,1624321628.0,1.0
69.45,1624321628.0,1.0
69.43,1624321628.0,1.0
69.37,1624321628.0,1.0
69.3,1624321628.0,1.0
69.23,1624321628.0,1.0
69.15,1624321628.0,1.0
69.07,1624321628.0,1.0
68.97,1624321628.0,1.0
68.87,1624321628.0,1.0
68.75,1624321628.0,1.0
68.63,1624321628.0,1.0
68.57,1624321628.0,1.0
68.55,1624321628.0,1.0
68.55,1624321628.0,1.0
68.52,1624321628.0,1.0
68.48,1624321628.0,1.0
68.42,1624321628.0,1.0
68.33,1624321628.0,1.0
68.27,1624321628.0,1.0
68.23,1624321628.0,1.0
68.2,1624321628.0,1.0
68.2,1624321628.0,1.0
68.17,1624321628.0,1.0
68.2,1624321628.0,1.0
68.25,1624321628.0,1.0
68.3,1624321628.0,1.0
68.33,1624321628.0,1.0
68.35,1624321628.0,1.0
68.38,1624321628.0,1.0
68.4,1624321628.0,1.0
68.42,1624321628.0,1.0
68.38,1624321628.0,1.0
68.38,1624321628.0,1.0
68.38,1624321628.0,1.0
68.4,1624321628.0,1.0
68.43,1624321628.0,1.0
68.42,1624321628.0,1.0
68.38,1624321628.0,1.0
68.18,1624321628.0,1.0
68.08,1624321628.0,1.0
67.97,1624321628.0,1.0
67.88,1624321628.0,1.0
67.73,1624321628.0,1.0
